sigle;nom_complet;adresse;citation;struct_id_hal;acronym_hal;type_hal
INSA Strasbourg;ICUBE Strasbourg University;;Université de Strasbourg, INSA Strasbourg, CNRS, ICube Laboratory UMR 7357;;;
LaTEP;Laboratoire de Thermique, Energétique et Procédés;;Université de Pau et des Pays de l’Adour, LaTEP, Pau, France;;;
FEMTO-ST;Franche-Comté Électronique Mécanique Thermique et Optique Sciences et Technologies;;Université Marie et Louis Pasteur CNRS, Institut FEMTO-ST;;;
LabEREE;LabEREE;;Laboratoire Énergies Renouvelables et Efficacité Énergétique (LabEREE), Institut International de l’Ingénierie de l’Eau et de l’Environnement (2iE);;;
CEALI Énergie;CEALI Énergie;;CAELI Energie;;;
LOCIE;'''Laboratoire Optimisation de la Conception et Ingénierie de l''''Environnement''';; Laboratoire procédés énergie bâtiment (LOCIE), Université Savoie Mont Blanc (USMB), CNRS UMR5271;;;
LEMHaD;LEMHaD;; Laboratoire Eco-Matériaux et Habitats Durables (LEMHaD), Institut International de l’Ingénierie de l’Eau et de l’Environnement (2iE);;;
CEREMA BPE;CEREMA BPE;;Cerema, Equipe de recherche BPE, Ministère de la transition écologique;;;
CEA Cadarache;CEA Cadarache;;CEA Cadarache, IRESNE/DER/SESI;;;
LAPLACE;LAPLACE;; LAPLACE, UMR CNRS 5213, Université Paul Sabatier, Toulouse, France;;;
IUSTI;IUSTI;;Aix Marseille Université, CNRS IUSTI, Marseille, France;;;
LAMIH;LAMIH;; LAMIH UPHF;;;
MASEEL;MASEEL;;MASEEL FSTT UAE Maroc;;;
LFP UAE;LFP UAE;; LFP UAE Maroc;;;
ENSI;ENSI;;New Science School of Engineering (ENSI);;;
PROMES;PROMES;;CNRS-PROMES (UPR 8521), Technosud-Rambla de la Thermodynamique, 66100 Perpignan, Université de Perpignan Via Domitia, 52 avenue Paul Alduy, 66100 Perpignan;;;
CEA Grenoble;CEA Grenoble;;CEA Grenoble;;;
CEA-Liten;CEA-Liten;;CEA Grenoble, DRT/LITEN/DTCH, Université Grenoble Alpes;;;
LEHSA;LEHSA;;Laboratoire Eau, Hydro-Systèmes et Agriculture (LEHSA), Institut International d’Ingénierie de l’Eau et de l’Environnement (2iE);;;
GR Energy U. Malaga;Groupe de recherche Energy – U. Malaga;;Groupe de recherche Energy, Departement d’ingénierie mécanique, thermique et des fluides, université de Malaga;;;
UMONS;UMONS;;Université de Mons, Faculté Polytechnique, service de Thermique et Combustion;;;
CEA-Saclay;CEA-Saclay;; CEA Saclay, DES/ISAS/DM2S, Université Paris-Saclay;;;
Capgemini; Capgemini Engineering;; Capgemini Engineering;;;
U. Polynésie Française;ENGIE Lab CRIGEN;;ENGIE Lab CRIGEN;;;
 IMT Nord Europe; IMT Nord Europe;;IMT Nord Europe, Institut Mines Télécom, Univ. Lille, Centre énergie & environnement, F-59000 Lille;;;
Tecumseh S&L;Tecumseh S&L;;Tecumseh S&L;;;
CETHIL;CETHIL;;INSA-Lyon, CNRS, CETHIL, UMR5008, F-69621, Villeurbanne, 69100, France;;;
LISTIC;LISTIC;;LISTIC - Université Savoie Mont Blanc;;;
Genvia;Genvia;;Genvia, SAS, France;;;
U Genova;U Genova;;Università degli Studi di Genova;;;
Newheat;Newheat;;Newheat;;;
ESTP;ESTP;;ESTP;;;
IRDL;IRDL;; Univ. Bretagne Sud, UMR CNRS 6027, IRDL;;;
Feng Technologies;Feng Technologies;;Feng Technologies SAS;;;
LAMA;LAMA;;LAMA;;;
PANDO2;PANDO2;;PANDO2;;;
LERMA;LERMA;;LERMA, College of Engineering & Architecture, International University of Rabat;;;
LTEN;Laboratoire de Thermique et Énergie de Nantes;;Nantes Université, CNRS, Laboratoire de Thermique et énergie de Nantes;;;
ICAM;ICAM;;Institut Catholique d’Arts et Métiers;;;
UNSTIM;UNSTIM;;UNSTIM, BENIN;;;
Renault Group AMPERE;Renault Group AMPERE;;Renault Group AMPERE;;;
Laboratoire Ampère;Laboratoire Ampère;;Laboratoire Ampère;;;
NEEXT ENGINEERING;NEEXT ENGINEERING;;NEEXT ENGINEERING;;;
