nom;role;institution
Michel Gradeck;Président;LEMTA - Université de Lorraine
Vincent Schick;Président;LEMTA - Université de Lorraine
Olivier Farges;Communications scientifiques;LEMTA - Université de Lorraine
Christelle Moine; Communication;LEMTA - Université de Lorraine
Ludovic Buhler;Site web;LEMTA - Université de Lorraine
Virginie Grandemange;Secrétariat administratif;LEMTA - Université de Lorraine
Benjamin Rémy;;LEMTA - Université de Lorraine
Nicolas Blet;;LEMTA - Université de Lorraine
Alexandre Labergue;;LEMTA - Université de Lorraine
Guillaume Castanet;;LEMTA - Université de Lorraine
Ophélie Caballina;;LEMTA - Université de Lorraine
Anthony Collin;;LEMTA - Université de Lorraine
Gilles Parent;;LEMTA - Université de Lorraine
Pascal Boulet;;LEMTA - Université de Lorraine
Zoubir Acem;;LEMTA - Université de Lorraine
