nom;institution
Jean-Luc BATTAGLIA;I2M - Bordeaux
Najib LARAQI;LTIE - Ville d’Avray
Jérôme BELLETTRE;LTEN - Nantes
Marjolaine LEGAY;Ariane Group – Le Haillan
Philippe BAUCOUR;FEMTO-ST - Belfort
Damien MERESSE;LAMIH Valenciennes
Romuald RULLIERE;CETHIL - Lyon
Johann MEULEMANS;Saint Gobain - Paris
Bernard DESMET;LAMIH - Valenciennes
Laetitia PEREZ;LARIS - Angers
Marie-Christine DULUC;CNAM - Paris
Jaona RANDRIANALISOA;ITheMM, Reims
Patrick GLOUANNEC;LIMATB - Lorient
Christophe RODIET;ITheMM - Reims
Michel GRADECK;LEMTA - Nancy
Patrick SALAGNAC;LASIE - La Rochelle
Christophe JOURNEAU;CEA - Cadarache
Didier SAURY;Pprime - Poitiers
François LANZETTA;FEMTO-ST - Belfort
Sylvain SERRA;LATEP – Pau
Philippe LEMASSON;IRDL - Lorient	 
